Folder,RelaxArea,c0Insertion,Col1,Col2,Col3,Col4,Col5,Ngags,Height
_change_ecc_spontcurv_03,72000.0,-0.03,93.6122, 16666.2, 0, 16775.7, 0.197651,75,28.935877
_change_ecc_spontcurv_04,74000.0,-0.03,93.7565, 1996.43, 0, 2093.05, 0.0536771,75,29.072973
_change_ecc_spontcurv_05,76000.0,-0.03,38.9293, 0.000468694, 2.42186e-23, 38.9304, 0.000381067,75,29.526602
_change_ecc_spontcurv_06,78000.0,-0.03,124.102, 87.4917, 0, 211.709, 0.0116392,75,30.117484
_change_ecc_spontcurv_07,80000.0,-0.03,229.596, 4978.37, 0, 5210.49, 0.0521781,75,33.473468
_change_ecc_spontcurv_08,82000.0,-0.03,256.631, 25798.7, 171.584, 26461.2, 0.250657,75,30.515185
_change_ecc_spontcurv_11,68000.0,-0.04,116.559, 74904.7, 1025.23, 76196.9, 0.881564,75,28.678054
_change_ecc_spontcurv_12,70000.0,-0.04,118.684, 41381.1, 592.979, 42224.8, 0.128876,75,28.815465
_change_ecc_spontcurv_13,72000.0,-0.04,122.322, 16672.3, 0, 16810.8, 0.117266,75,28.934216
_change_ecc_spontcurv_14,74000.0,-0.04,119.346, 1947.26, 0, 2066.86, 0.0472452,75,29.049944
_change_ecc_spontcurv_15,76000.0,-0.04,50.1804, 0.000247079, 0, 50.1812, 0.000319987,75,29.765815
_change_ecc_spontcurv_16,78000.0,-0.04,136.293, 61.4326, 1.50398e-25, 197.918, 0.00954026,75,30.082996
_change_ecc_spontcurv_17,80000.0,-0.04,223.518, 7310.17, 0, 7535.82, 0.145608,75,30.391672
_change_ecc_spontcurv_18,82000.0,-0.04,281.291, 26521.6, 987.242, 27795.8, 0.132371,75,30.526333
_change_ecc_spontcurv_21,68000.0,-0.02,95.7606, 74890.6, 1838.56, 76972.3, 0.414847,75,28.677668
_change_ecc_spontcurv_22,70000.0,-0.02,100.934, 41369.3, 592.876, 42184.2, 0.079352,75,28.815678
_change_ecc_spontcurv_23,72000.0,-0.02,107.78, 16660.7, 0, 16784.2, 0.0564527,75,28.935379
_change_ecc_spontcurv_24,74000.0,-0.02,107.845, 1963.1, 0, 2072.12, 0.0513811,75,29.050175
_change_ecc_spontcurv_25,76000.0,-0.02,59.929, 0.00147208, 8.19775e-10, 59.9321, 0.000461727,75,29.390270
_change_ecc_spontcurv_26,78000.0,-0.02,150.273, 89.1844, 0, 239.587, 0.0108242,75,30.090702
_change_ecc_spontcurv_27,80000.0,-0.02,238.529, 7140.83, 0, 7380.71, 0.0889337,75,30.394709
_change_ecc_spontcurv_28,82000.0,-0.02,287.121, 26253.7, 0, 26773.9, 0.349461,75,30.516599
_change_ecc_spontcurv_31,68000.0,-0.01,149.302, 74883.1, 1025.03, 76203, 0.244138,75,28.676844
_change_ecc_spontcurv_32,70000.0,-0.01,156.126, 41362.8, 592.818, 42231.4, 0.275047,75,28.815172
_change_ecc_spontcurv_33,72000.0,-0.01,164.568, 16655.1, 0, 16835.2, 0.15831,75,28.934414
_change_ecc_spontcurv_34,74000.0,-0.01,164.19, 1953.9, 0, 2118.29, 0.0302483,75,29.041973
_change_ecc_spontcurv_35,76000.0,-0.01,111.705, 0.00297876, 0, 111.712, 0.000643049,75,29.194295
_change_ecc_spontcurv_36,78000.0,-0.01,218.685, 96.3603, 0, 315.161, 0.0123008,75,30.089614
_change_ecc_spontcurv_37,80000.0,-0.01,310.711, 7150.08, 0, 7462.1, 0.0343229,75,30.389619
_change_ecc_spontcurv_38,82000.0,-0.01,358.779, 25653.2, 312.115, 26573.2, 0.0861137,75,30.504760
_change_ecc_spontcurv_41,68000.0,0.0,245.454, 74874.1, 1024.93, 76288.9, 0.173756,75,28.675934
_change_ecc_spontcurv_42,70000.0,0.0,257.581, 41133.7, 511.855, 41921.1, 0.168032,75,28.775415
_change_ecc_spontcurv_43,72000.0,0.0,263.811, 16649.3, 0, 16928.4, 0.0263761,75,28.931552
